id,artist_name,genre,genre_number
5S49V9loYR0Glq8uJM91bs,BTOB(비투비),Ballad,1
1eJGTmb81YxxbykvAezg2r,90yonge St.,R&B,17
6CC0Rj30WieBrLs5fmlSrK,Lil 9ap,R&B,17
3lrh60OfdaOmmHPQ15wHx8,CHA NI (SF9),Dance Pop,7
3siveQoW1W5fOv7jokJvCc,9reat!,EDM,8
6VJXRJvRRyLv99RZbXJ8RO,JBJ,Dance Pop,7
7f953Uuid7Xrd0nXQ3V3s1,GHOST9,Dance Pop,7
7G6wtLzZON7qJQ2Cw2kxVp,JBJ95,Dance Pop,7
6LnZa5lkEmeCDwr7Te4H1E,Gene Pokorny,Jazz,15
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,R&B,17
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Dance Pop,7
2DaxqgrOhkeH0fpeiQq2f4,Oasis,Indie Rock,13
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,Dance Pop,7
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Indie,12
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,R&B,17
2gsggkzM5R49q6jpPvazou,Jessie J,R&B,17
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,R&B,17
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,R&B,17
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Dance Pop,7
7tYKF4w9nC0nq9CsPZTHyP,SZA,R&B,17
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,R&B,17
0k2zyzGq6HX383VlMBOvRG,PLAVE,Indie,12
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Dance Pop,7
3TVXtAsR1Inumwj472S9r4,Drake,Hip-Hop,11
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,Dance Pop,7
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Dance Pop,7
246dkjvS1zLTtiykXe5h60,Post Malone,Hip-Hop,11
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Ballad,1
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Indie Rock,13
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,Dance Pop,7
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,Hip-Hop,11
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,Jazz,15
1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,J-Pop,14
5WUlDfRSoLAfcVSX1WnrxN,Sia,Dance Pop,7
,ヨルシカ (Yorushika),J-Pop,14
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,R&B,17
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,Indie,12
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Rock,18
5069JTmv5ZDyPeZaCCXiCg,wave to earth,Indie,12
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,R&B,17
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,Dance Pop,7
04gDigrS5kc9YWfZHwBETP,Maroon 5,Dance Pop,7
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,R&B,17
64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,J-Pop,14
5JZ7CnR6gTvEMKX4g70Amv,Lauv,Indie,12
5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,J-Pop,14
2IUl3m1H1EQ7QfNbNWvgru,Vaundy,J-Pop,14
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,EDM,8
5y8tKLUfMvliMe8IKamR32,d4vd,Indie,12
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,Dance Pop,7
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,J-Pop,14
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,Hip-Hop,11
25uiPmTg16RbhZWAqwLBy5,Charli xcx,Dance Pop,7
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,Ballad,1
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,R&B,17
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,Ballad,1
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,Indie,12
55Aa2cqylxrFIXC767Z865,Lil Wayne,Hip-Hop,11
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,Dance Pop,7
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,Dance Pop,7
22wbnEMDvgVIAGdFeek6ET,Benson Boone,Indie,12
6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,J-Pop,14
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,Indie,12
38WbKH6oKAZskBhqDFA8Uj,ZUTOMAYO,J-Pop,14
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,J-Pop,14
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,Hip-Hop,11
4dpARuHxo51G3z768sgnrY,Adele,Ballad,1
6KImCVD70vtIoJWnq6nGn3,Harry Styles,Ballad,1
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,R&B,17
2wY79sveU1sp5g7SokKOiI,Sam Smith,Ballad,1
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,J-Pop,14
6LuN9FCkKOj5PcnpouEgny,Khalid,R&B,17
6mEQK9m2krja6X1cfsAjfl,Ado,J-Pop,14
2pRZp2WxvnWWiSPcSSYkNV,george,Indie,12
6wxfx1yhyqjCPYwwxJktR2,King Gnu,Indie Rock,13
6jJ0s89eD6GaHleKKya26X,Katy Perry,Dance Pop,7
7bp2lSdh12wcA8LyB1srfJ,Sofia Carson,Dance Pop,7
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,Hip-Hop,11
7CajNmpbOovFoOoasH2HaY,Calvin Harris,EDM,8
6vWDO969PvNqNYHIOW5v0m,Beyoncé,R&B,17
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,EDM,8
45dkTj5sMRSjrmBSBeiHym,Tate McRae,Dance Pop,7
5lpH0xAS4fVfLkACg9DAuM,Wham!,Dance Pop,7
64KEffDW9EtZ1y2vBYgq8T,Marshmello,EDM,8
26VFTg2z8YR0cCuwLzESi2,Halsey,Dance Pop,7
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,Hip-Hop,11
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,Dance Pop,7
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,Dance Pop,7
0EmeFodog0BfCgMzAIvKQp,Shakira,Dance Pop,7
49tQo2QULno7gxHutgccqF,LANY,Indie,12
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,Indie Rock,13
2FXC3k01G6Gw61bmprjgqS,Hozier,Indie Rock,13
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,Dance Pop,7
26dSoYclwsYLMAKD3tpOr4,Britney Spears,Dance Pop,7
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,Hip-Hop,11
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,Dance Pop,7
5kVZa4lFUmAQlBogl1fkd6,Aimyon,J-Pop,14
35l9BRT7MXmM8bv2WDQiyB,beabadoobee,Indie,12
