id,title,genre,genre_number,Production Country,Release Year,Director,Plot
1844,새색시,드라마,2,대한민국,1969,조문진,"통속,며느리,시집살이,고부갈등,부잣집딸,철부지,신여성,세대갈등,세대차이,신세대,가부장사회,가족드라마,컬러시네마스코프"
579,이 생명 다하도록,멜로,3,대한민국,1960,신상옥,"실화바탕,방송소설영화화,피난,한국전쟁참전용사,참전군인,전쟁고아,전쟁의비극,삼각관계,전쟁미망인,1.4후퇴,딸의죽음,하반신불구,라디오드라마원작,흑백스탠다드"
3002,7인의 말괄량이,멜로,3,대한민국,1976,김수형,"여장부,부잣집딸,컬러시네마스코프,무지개,대학생,여대생,20대,청춘영화,학비,등록금,진정한우정,말괄량이,우정,아르바이트,대학생활"
695,바보온달과 평강공주,사극,8,대한민국,1961,이규웅,"설화소재,야사,흑백,대명제작"
677,마이동풍,코메디,13,대한민국,1961,이봉래,"서민생활,공처가,삼총사,중년남자,시대풍자,애주가,술"
4362,이조 여인숙명사 청상계,사극,8,대한민국,1990,윤석봉,"불륜,쾌락,성욕"
3073,푸른 꿈을 가득히(특별 하숙생),멜로,3,대한민국,1976,이형표,"컬러시네마스코프,과부,가짜대학생,흔들리는청춘,청춘남녀,청춘영화,미망인,장학생,교육자,대학생,하숙생,고학생"
4361,꿈,사극,8,대한민국,1990,배창호,"승려,번뇌,겁탈,염색집,매춘부,아편중독,문둥이촌,소설원작,리메이크"
4749,숲속의 여자,사극,8,대한민국,1994,오주경,"1940년대,강제징용,독립군,앞잡이,일제치하,일제시대,일제강점기"
1350,제76 포로수용소,드라마,2,대한민국,1966,이한욱,"흑백시네마스코프,전쟁포로,포로수용소,1950년대,반공영화,한국전쟁,한국전쟁말,6.25,625,한국라디오드라마원작,KBS연속극원작,라디오연속극원작"
4762,소낙비,사극,8,대한민국,1995,최기풍,"1930년대,가난,궁핍,유랑생활,일제치하,소설원작,단편소설원작,한국소설원작"
1340,살인수첩,드라마,2,대한민국,1966,장일호,"연쇄살인,장미,복수,추리물,예고살인,실족사,흑백시네마스코프"
5478,나비,드라마,2,대한민국,2001,문승욱,"가상도시,가이드,고아,기억,나비,나비떼들,납중독,망각바이러스,산성비,여행,오염,임신,택시,택시기사,환각,가족찾기,기억삭제,해외영화제수상작"
2952,미스염의 순정시절,멜로,3,대한민국,1975,김선경,"청춘영화,1970년대,신여성,여성지위,여사장,직장,테크니스코프,컬러시네마스코프,여장부"
271,춘향전,사극,8,대한민국,1955,이규환,"고전소설원작,춘향전,판소리계소설원작,신분격차,부모반대,결혼반대,암행어사,과거급제,과거시험,수절,정조,삼각관계"
51929,AK-47,전쟁,12,러시아,2020,콘스탄틴 버슬로프,
2898,바보들의 행진,멜로,3,대한민국,1975,하길종,"그룹미팅,당구장,대학생,술먹기대회,입영열차,키스,포장마차,청춘영화,흔들리는청춘,청춘남녀,대학생활,군입대,방황,컬러시네마스코프,한국소설원작,신문연재소설원작,두발단속"
296,천추의 한,사극,8,대한민국,1956,안종화,"구한말,조선시대,비련의여인,비극적사랑"
2950,미스 영의 행방,멜로,3,대한민국,1975,박남수,"소설원작,잡지연재소설원작,한국소설원작,청춘영화,흔들리는청춘,방황,반항아,가출,대학생,컬러시네마스코프"
304,마의 태자,사극,8,대한민국,1956,전창근,"비극적사랑,역사물,역사바탕,신문연재소설원작,통일신라,신라시대,역사 속 인물"
2952,미스염의 순정시절,멜로,3,대한민국,1975,김선경,"청춘영화,1970년대,신여성,여성지위,여사장,직장,테크니스코프,컬러시네마스코프,여장부"
27406,"그 겨울, 나는",멜로,3,대한민국,2021,오성호,
28407,싱어송,멜로,3,대한민국,2021,나오헌,
1173,나는 죽기 싫다,액션,10,대한민국,1965,김묵,"전쟁고아,의형제,엇갈린운명,검사,폭력/깡패,갱생,개과천선,법정,살인누명,흑백시네마스코프"
35604,여름愛(애),멜로,3,독일,2015,톰 소머라트,
50773,마치다군의 세계,멜로,3,일본,2019,이시이 유야,
5529,나쁜 남자,드라마,2,대한민국,2001,김기덕,"감옥,거울,밀실,바다,바닷가.트럭,복수,사창가,성매매,여대생,인신매매,재회,죄책감,창녀,창녀촌,키스,해외영화제수상작"
53012,너의 얼굴은,멜로,3,미국,2020,켈렌 무어,
1893,이조 여인잔혹사,사극,8,대한민국,1969,신상옥,"옴니버스영화,과부,청상과부,정절,수절,야사,이조야사,조선시대,컬러시네마스코프"
52549,해길랍,멜로,3,대만,2018,채밀결,
23665,메이드 인 루프탑,멜로,3,대한민국,2020,김조광수,"동성애,BJ,옥탑방"
681,언니는 말괄량이,코메디,13,대한민국,1961,한형모,"두자매,결혼생활,유도,말괄량이,흑백시네마스코프"
719,맹진사댁 경사,사극,8,대한민국,1962,이용민,"희곡원작,희곡영화화,혼례,인과응보,해학,탐욕,풍자,결혼,조선시대,이조시대,컬러스탠다드"
707,천하일색 양귀비,사극,8,대한민국,1962,"김화랑,김기덕","라이벌,절세미인,요부,중국역사,역사물,역사 속 인물,역사바탕,컬러시네마스코프"
5541,아프리카,드라마,2,대한민국,2001,신승수,"강릉,권총,여대생,여행,일상탈출,배우지망생,강릉여행,렌트카,권총난사,강력계형사,중간보스,도박판,판돈,외모컴플렉스,복수"
57567,스마일 어게인,공포,1,아르헨티나,2022,네스토르 산체스 소텔로,
56005,체리마호: 30살까지 동정이면 마법사가 될 수 있대,멜로,3,일본,2022,카자마 히로키,
5550,봄산에,드라마,2,대한민국,2002,이지행,"모녀,산길,세대갈등,소복,시신,여름,유언,장지,산,관,모녀관계,모녀지간,짐꾼,여정,군인"
62426,나미비아의 사막,멜로,3,일본,2024,야마나카 요코,
1358,대탈출,액션,10,대한민국,1966,이한욱,"반공영화,탄광,포로,탈출,흑백시네마스코프"
3216,꿈나무,멜로,3,대한민국,1978,최훈,"정리해고,정신적방황,10대청소년,고등학생,학창시절,사춘기,반항아,이유없는반항,컬러스탠다드"
1363,흑도적,사극,8,"대한민국,홍콩",1966,"최경옥,엄준","궁중,컬러시네마스코프,야사,합작영화,한홍합작영화,한국홍콩합작영화,고대중국,반역,흑두건"
3075,선생님 안녕,멜로,3,대한민국,1976,박태원,"컬러시네마스코프,고등학생,성장영화,학창시절,청소년,우정,고교시절"
3004,정말 꿈이 있다구,멜로,3,대한민국,1976,문여송,"갱생,10대소녀,10대청소년,컬러시네마스코프,장애인,소아마비,개과천선,일본영화원작,일본영화리메이크"
17696,소녀의 세계,멜로,3,대한민국,2018,안정민,"사춘기소녀,옛추억,첫사랑,여자친구,10대소녀,연극반,고등학생,10대청소년,여고생"
4781,안개속에서 2분 더,액션,10,대한민국,1994,"포덕희,강우석","런던,유학,삼각관계,폭력조직"
5553,퀵맨,액션,10,대한민국,2002,이혁수,"CD,손녀,유산,유언,의문사,암살,킬러,행방불명,유언장,퀵서비스"
5583,취화선,사극,8,대한민국,2002,임권택,"구한말,그림,기생,사극,술,실존인물,예술가,오원,장승업,조선화가,천재,첫사랑,최승엽,화가,한명구,이응헌,애주가,어명,흥,붓,롱테이크,해외영화제수상작,재개봉"
23140,온 세상이 하얗다,멜로,3,대한민국,2020,김지석,"치매,알콜중독,우울증,동반자살"
3781,초대받은 성웅들,드라마,2,대한민국,1984,최하원,"순교,신학,실화바탕,천주교박해,가톨릭(카톨릭),최양업,회상,신부,복수,19세기말,선교사,기독교,용서,은둔생활,전도,희생"
5588,묻지마패밀리,액션,10,대한민국,2002,"박상원,박광현,이현종","1980년대,개인택시,군입대,귀대열차,단편영화,라이터,모텔,뮤지컬,방화,벨보이,운동화,첫휴가,외도,성냥,옴니버스영화,군대,교회,불륜,불륜"
1008,아랑의 정조,사극,8,대한민국,1964,장일호,"백제,삼국시대,정절,단편소설원작,소설원작,시력,장님,라디오드라마원작,라디오연속극원작,동아방송(DBS),흑백시네마스코프"
16184,너에게만 들려주고 싶어,멜로,3,"대한민국,베트남,중국",2017,박병환,"이별,사랑과이별,헤어짐,여자친구,흔적,버킷리스트,베트남,핑크고래,치유,상처치유"
2983,딸 3형제,멜로,3,대한민국,1976,최현민,"신분격차,신분차이,부잣집딸,부모반대,결혼반대,컬러시네마스코프,딸부자,한국소설원작,단편소설원작"
345,순애보,멜로,3,대한민국,1957,한형모,"바닷가,구조,스튜어디스,화가,전후파여성,아프레걸,신여성,살인누명,실명,시각상실,시각장애인,사형선고,사형장,살인사건,비극적사랑,한국소설원작,순정,흑백스탠다드"
1695,절벽,멜로,3,대한민국,1968,이형표,"파일럿,통속,비련의여인,비극적사랑,위암말기,한국소설원작,시한부,불치병,스튜어디스,옛애인,컬러시네마스코프"
3395,밤의 찬가,멜로,3,대한민국,1979,김호선,"비극적사랑,미대생,대학생,권투,권투선수,복싱,복싱선수,신문연재소설원작,한국소설원작,청춘남녀,흔들리는청춘,컬러시네마스코프,극단적선택,자살,자살기도"
1016,대륙의 밀사,액션,10,대한민국,1964,김묵,"독립운동,만주대륙물,일제강점기,일제시대,HLKV,라디오드라마원작,라디오연속극원작,1940년대,흑백시네마스코프,댄서,독립투사,암호,여간첩"
1019,마도로스 박,액션,10,대한민국,1964,신경균,"간첩,복수극,밀수단,밀수범,흑백시네마스코프"
1000,진성여왕,사극,8,대한민국,1964,하한수,"역사,신라시대,삼국시대,역사물,역사바탕,역사 속 인물,간신,흑백시네마스코프,궁중사극,궁중/역사"
